event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,location-error-text,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone
260308967,true,1994-07-21 12:00:00.000,14.3391783546,45.8743584173,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",448715.39153714967,5080300.300149797,"33N"
260308968,true,1994-07-22 13:30:00.000,14.373073688,45.867126174,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451339.6039605717,5079475.547679733,"33N"
260308969,true,1994-07-25 12:30:00.000,14.3239970195,45.8515499685,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",447515.7515723228,5077776.057721779,"33N"
260308970,true,1994-07-27 12:15:00.000,14.3397986265,45.8491679393,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",448740.38404115464,5077501.140236316,"33N"
260308971,true,1994-07-28 17:00:00.000,14.3822440555,45.8822475308,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452064.38644206,5081150.045121523,"33N"
260308972,true,1994-07-30 11:30:00.000,14.3877389219,45.8804775357,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452489.2589227592,5080950.105137029,"33N"
260308973,true,1994-07-31 15:55:00.000,14.4244928085,45.8768444698,"aa","","1","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",455338.4038410629,5080525.232639437,"33N"
260308974,true,1994-08-02 09:30:00.000,14.3990161098,45.850169588,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453339.00390261295,5077576.117733075,"33N"
260308975,true,1994-08-05 13:30:00.000,14.3736923788,45.8693790338,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451389.58895907336,5079725.472673105,"33N"
260308976,true,1994-08-06 14:00:00.000,14.3719962958,45.877017906,"ai","","4","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451264.62646371895,5080575.217641224,"33N"
260308977,true,1994-08-07 15:15:00.000,14.3119264533,45.8645248556,"nm","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",446591.0291049343,5079225.622689058,"33N"
260308978,true,1994-08-10 08:50:00.000,14.3339884808,45.8774775359,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",448315.5115518497,5080650.195141528,"33N"
260308979,true,1994-08-12 08:20:00.000,14.3678098613,45.876994821,"nm","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",450939.72397289536,5080575.217638645,"33N"
260308980,true,1994-08-14 18:30:00.000,14.3154877187,45.9153840248,"aa","","4","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",446915.9315971377,5084873.927512101,"33N"
260308981,true,1994-08-16 10:35:00.000,14.3676689503,45.8610228273,"ia","","1","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",450914.7314755098,5078800.750198213,"33N"
260308982,true,1994-08-18 17:15:00.000,14.3966023935,45.8650033752,"ii","","1","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453164.056407657,5079225.62268602,"33N"
260308983,true,1994-08-19 12:40:00.000,14.3706649925,45.8808346684,"ii","","1","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451164.65646726923,5081000.0901307985,"33N"
260308984,true,1994-08-21 11:25:00.000,14.373928498,45.8770285089,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451414.5814551543,5080575.217643671,"33N"
260308985,true,1994-08-26 15:45:00.000,14.4080929049,45.8745112317,"ii","","1","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454063.78637661575,5080275.30765379,"33N"
260308986,true,1994-08-29 16:00:00.000,14.376615432,45.867145551,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451614.52145347296,5079475.547673733,"33N"
260308987,true,1994-08-30 17:50:00.000,14.3936729119,45.8679121758,"ii","","1","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452939.1239160667,5079550.52517465,"33N"
260308988,true,1994-09-05 14:45:00.000,14.3947072173,45.8616191487,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453014.10140900523,5078850.735192206,"33N"
260308989,true,1994-09-08 14:00:00.000,14.4036495676,45.8684145722,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453713.891389116,5079600.510168357,"33N"
260308990,true,1994-09-09 12:10:00.000,14.3987518734,45.8746874096,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453339.00390175823,5080300.300146258,"33N"
260308991,true,1994-09-14 09:20:00.000,14.4096101094,45.8832919841,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454188.7488754118,5081250.015125514,"33N"
260308992,true,1994-09-19 11:10:00.000,14.4113724872,45.8689045099,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454313.71137010265,5079650.495168273,"33N"
260308993,true,1994-09-21 09:30:00.000,14.413917667,45.871841898,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454513.651362896,5079975.397656132,"33N"
260308994,true,1994-09-22 12:40:00.000,14.4107142468,45.8702507968,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454263.7263741269,5079800.450163621,"33N"
260308995,true,1994-09-24 14:00:00.000,14.3588717678,45.8980899417,"ai","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",450264.9264960321,5082924.512572391,"33N"
260308996,true,1994-09-26 15:20:00.000,14.4090685054,45.8736164954,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454138.7638784066,5080175.337652593,"33N"
260308997,true,1994-09-27 15:30:00.000,14.4073843044,45.8805811089,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454013.80138330837,5080950.10513197,"33N"
260308998,true,1994-10-04 10:50:00.000,14.4055934712,45.8672999674,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453863.8463864208,5079475.547673148,"33N"
260308999,true,1994-10-06 12:10:00.000,14.4020372268,45.8686310928,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453588.9288933321,5079625.502670235,"33N"
260309000,true,1994-10-10 11:50:00.000,14.376987665,45.8626486446,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451639.51395226765,5078975.69768803,"33N"
260309001,true,1994-10-11 12:40:00.000,14.3985099288,45.8672628998,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453314.0114044762,5079475.547679643,"33N"
260309002,true,1994-10-13 13:20:00.000,14.4004708203,45.8645738438,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453463.9663982606,5079175.63768144,"33N"
260309003,true,1994-10-14 15:15:00.000,14.4106738315,45.8740746789,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454263.7263703261,5080225.322651062,"33N"
260309004,true,1994-10-15 14:20:00.000,14.4058866938,45.8700008521,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453888.8388843122,5079775.45766589,"33N"
260309005,true,1994-10-16 10:00:00.000,14.4042334586,45.8740412817,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453763.8763902358,5080225.322655792,"33N"
260309006,true,1994-10-17 10:00:00.000,14.4026089061,45.8753824785,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453638.9138916231,5080375.277646239,"33N"
260309007,true,1994-10-18 12:00:00.000,14.4054855532,45.8774219985,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453863.8463866927,5080600.210142259,"33N"
260309008,true,1994-10-19 14:35:00.000,14.398490519,45.869062371,"nm","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453314.0114011263,5079675.487672797,"33N"
260309009,true,1994-10-20 13:40:00.000,14.381514935,45.8608736635,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451989.40894337924,5078775.757695023,"33N"
260309010,true,1994-10-22 14:40:00.000,14.399451642,45.8695173196,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453388.9888976446,5079725.472666411,"33N"
260309011,true,1994-10-26 11:19:00.000,14.4026884289,45.8679596587,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453638.9138918251,5079550.525169482,"33N"
260309012,true,1994-10-29 13:35:00.000,14.3143981241,45.8991814344,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",446815.9615994186,5083074.467569678,"33N"
260309013,true,1994-10-30 13:30:00.000,14.3889195854,45.8609135028,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452564.23642167245,5078775.757698113,"33N"
260309014,true,1994-10-31 09:25:00.000,14.3965488471,45.8699519198,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453164.05640255724,5079775.457662147,"33N"
260309015,true,1994-11-01 11:00:00.000,14.3984759605,45.870411974,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453314.0114032673,5079825.442665154,"33N"
260309016,true,1994-11-02 13:30:00.000,14.4040965318,45.856719666,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453738.88388635236,5078300.900208302,"33N"
260309017,true,1994-11-03 09:40:00.000,14.3971928358,45.869955319,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453214.0414051269,5079775.457669291,"33N"
260309018,true,1994-11-04 13:45:00.000,14.4026739725,45.8693092631,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453638.9138897451,5079700.48017323,"33N"
260309019,true,1994-11-13 13:50:00.000,14.4039739576,45.8681913181,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453738.8838876784,5079575.517674747,"33N"
260309020,true,1994-11-14 07:30:00.000,14.4005505976,45.8571510128,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453463.96639547544,5078350.88520529,"33N"
260309021,true,1994-11-18 13:00:00.000,14.4039739576,45.8681913181,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453738.8838876784,5079575.517674747,"33N"
260309022,true,1994-11-19 13:00:00.000,14.4004345475,45.8679478547,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453463.9663952991,5079550.52517581,"33N"
260309023,true,1994-11-21 09:50:00.000,14.4004635662,45.8652486462,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453463.9663933012,5079250.615186806,"33N"
260309024,true,1994-11-22 12:20:00.000,14.4020324028,45.8690809608,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453588.92889659986,5079675.487664478,"33N"
260309025,true,1994-11-24 09:50:00.000,14.4020299907,45.8693058949,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453588.9288939016,5079700.480174242,"33N"
260309026,true,1994-11-28 07:45:00.000,14.4036399455,45.8693143086,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453713.89139014407,5079700.480172153,"33N"
260309027,true,1994-12-07 14:20:00.000,14.4033155476,45.8695375617,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453688.8988920734,5079725.472669188,"33N"
260309028,true,1995-01-12 12:40:00.000,14.4036351343,45.8697641767,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453713.8913922816,5079750.465168921,"33N"
260309029,true,1995-01-18 14:10:00.000,14.4036423511,45.8690893745,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453713.8913923712,5079675.487669685,"33N"
260309030,true,1995-01-26 13:50:00.000,14.4036206999,45.8711137808,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453713.89138983306,5079900.42016105,"33N"
260309031,true,1995-02-03 07:50:00.000,14.4039499147,45.8704406589,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453738.88388506544,5079825.442667468,"33N"
260309032,true,1995-03-13 09:00:00.000,14.4039499147,45.8704406589,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453738.88388506544,5079825.442667468,"33N"
260309033,true,1995-03-31 11:00:00.000,14.4074584248,45.8736081576,"ii","","1","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454013.8013827221,5080175.3376568165,"33N"
260309034,true,1995-04-02 11:00:00.000,14.4074584248,45.8736081576,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454013.8013827221,5080175.3376568165,"33N"
260309035,true,1995-04-06 11:00:00.000,14.4074584248,45.8736081576,"ii","Orca film saá in der Nhe","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454013.8013827221,5080175.3376568165,"33N"
260309036,true,1995-04-07 11:00:00.000,14.4074584248,45.8736081576,"ii","orcas saáen in der Nhe","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454013.8013827221,5080175.3376568165,"33N"
